# 
# This file is written by the ANSYS DesignXplorer add-in and contains the parameter values of the Design Points successfully updated by ANSYS Workbench.
# Project name: s2
# Creation date: 03/05/2015 3:31:04 AM
# 
# 03/05/2015 3:31:04 AM
# The parameters defined in the project are:
# P1 - H10, P2 - H11_MINUS_H10, P3 - H1_MINUS_H_11, P4 - V6, P5 - V3, P6 - V7, P7 - HALF_HEIGHT, P8 - D2
# 
# The following header line defines the name of the columns by reference to the parameters.
Name, P1, P2, P3, P4, P5, P6, P7, P8
DP 0, 5, 7, 30, 5, 2, 6, 5, 6
# 
# A non parametric change occured and invalidated design point results.
# 03/05/2015 5:17:55 AM
# 
# 
# 03/05/2015 6:02:36 AM
# Parameters have been added and/or removed. The parameters now defined in the project are:
# P1 - H10, P2 - H11_MINUS_H10, P3 - H1_MINUS_H_11, P4 - V6, P5 - V3, P7 - HALF_HEIGHT, P8 - D2, P9 - Safety Factor Minimum, P10 - Solid Mass [kg]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name, P1, P2, P3, P4, P5, P7, P8, P9, P10
DP 103, 0.7, 7.8916666666666666, 34.422083333333333, 5.67738683127572, 4.4989333333333335, 5.58257045675413, 6, 1.7575535691394837, 35.12764933575798
DP 104, 0.7, 7.8950000000000005, 34.822083333333332, 5.8107201646090534, 4.6589333333333336, 5.639713313896987, 6, 1.8615025378756909, 36.9870951631092
DP 105, 0.7, 7.8983333333333334, 34.172083333333333, 5.9440534979423871, 4.8189333333333337, 5.696856171039844, 6, 1.7371792889495905, 37.995533623192756
DP 106, 0.7, 7.9016666666666664, 34.572083333333332, 5.7218312757201639, 4.2109333333333341, 5.362162293488824, 6, 1.8167658629999195, 32.006271822229976
DP 107, 0.7, 7.905, 34.372083333333336, 5.8551646090534977, 4.3709333333333333, 5.4193051506316809, 6, 1.7818973404837153, 33.326067507101016
DP 108, 0.7, 7.9083333333333332, 34.772083333333335, 5.9884979423868314, 4.5309333333333335, 5.4764480077745379, 6, 1.8771039167976213, 35.123814746889231
DP 109, 0.7, 7.9116666666666671, 34.272083333333335, 5.6082510288065839, 4.6909333333333336, 5.5335908649173957, 6, 1.6961033721822774, 35.825768704669173
DP 110, 0.7, 7.915, 34.672083333333333, 5.7415843621399176, 4.8509333333333338, 5.5907337220602527, 6, 1.7610246604306323, 37.693403557380122
DP 111, 0.7, 7.918333333333333, 34.47208333333333, 5.8749176954732505, 4.2429333333333341, 5.64787657920311, 6, 1.919545203829562, 34.188554816683215
DP 112, 0.7, 7.9216666666666669, 34.872083333333329, 5.6526954732510282, 4.4029333333333334, 5.7050194363459665, 6, 1.9144786056507055, 35.737434510844949
DP 113, 0.7, 7.925, 34.147083333333335, 5.7860288065843619, 4.5629333333333335, 5.3703255587949466, 6, 1.8070915058486887, 33.941425339626683
DP 114, 0.7, 7.9283333333333337, 34.547083333333333, 5.9193621399176957, 4.7229333333333336, 5.4274684159378035, 6, 1.8162741055791909, 35.7445232258141
DP 115, 0.7, 7.9316666666666666, 34.34708333333333, 5.6971399176954733, 4.8829333333333338, 5.48461127308066, 6, 1.8067357172242058, 36.810569393631965
DP 116, 0.7, 7.9350000000000005, 34.747083333333336, 5.8304732510288062, 4.2749333333333333, 5.5417541302235174, 6, 1.7479592528657406, 33.862810742927437
DP 117, 0.7, 7.9383333333333335, 34.247083333333336, 5.96380658436214, 4.4349333333333334, 5.5988969873663752, 6, 1.9077351527768591, 34.992915316327377
DP 118, 0.7, 7.9416666666666664, 34.647083333333335, 5.6230658436213989, 4.5949333333333335, 5.6560398445092321, 6, 1.8192743079107914, 36.452570302685473
